Well,Knockout,Label,Growth OD,Final OD for Screen,Abs 650 nm,Mask,Comment
D04,SO_1203,{\it \delta nusA},0.478,0.306,0.132,Low,N utilization substance protein A NusA.
F08,SO_2592,{\it \delta pyrD},0.389,0.237,0.1021,High,Dihydroorotate dehydrogenase PyrD.
G07,SO_3191,{\it \delta wzz},0.486,0.242,0.085,High,Polysaccharide chain length determinant Wzz.
B01,Blank,Blank,0.041,0.037,0.2454,Normal,
D01,Blank,Blank,0.04,0.037,0.251,Normal,
F01,Blank,Blank,0.04,0.037,0.2503,Normal,
H01,Blank,Blank,0.039,0.037,0.2501,Normal,
A02,Blank,Blank,0.04,0.037,0.2499,Normal,
C02,Blank,Blank,0.04,0.037,0.2486,Normal,
E02,Blank,Blank,0.04,0.037,0.2501,Normal,
G02,Blank,Blank,0.04,0.037,0.25,Normal,
B03,Blank,Blank,0.04,0.038,0.2436,Normal,
D03,Blank,Blank,0.04,0.042,0.2512,Normal,
F03,Blank,Blank,0.514,0.333,0.0985,Normal,
H03,Blank,Blank,0.041,0.04,0.249,Normal,
A04,Blank,Blank,0.04,0.039,0.2474,Normal,
C04,Blank,Blank,0.04,0.037,0.2495,Normal,
E04,Blank,Blank,0.04,0.04,0.2473,Normal,
G04,Blank,Blank,0.04,0.041,0.2451,Normal,
B05,Blank,Blank,0.04,0.037,0.2484,Normal,
D05,Blank,Blank,0.041,0.039,0.249,Normal,
F05,Blank,Blank,0.04,0.038,0.2503,Normal,
H05,Blank,Blank,0.04,0.046,0.2499,Normal,
A06,Blank,Blank,0.04,0.044,0.2485,Normal,
C06,Blank,Blank,0.04,0.037,0.2484,Normal,
E06,Blank,Blank,0.04,0.037,0.2486,Normal,
G06,Blank,Blank,0.04,0.036,0.248,Normal,
B07,Blank,Blank,0.04,0.037,0.248,Normal,
D07,Blank,Blank,0.04,0.038,0.2493,Normal,
F07,Blank,Blank,0.04,0.037,0.2481,Normal,
H07,Blank,Blank,0.042,0.051,0.2482,Normal,
A08,Blank,Blank,0.04,0.04,0.2495,Normal,
C08,Blank,Blank,0.04,0.038,0.2493,Normal,
E08,Blank,Blank,0.04,0.04,0.2505,Normal,
G08,Blank,Blank,0.04,0.037,0.2465,Normal,
B09,Blank,Blank,0.04,0.038,0.2476,Normal,
D09,Blank,Blank,0.04,0.039,0.2458,Normal,
F09,Blank,Blank,0.04,0.038,0.2479,Normal,
H09,Blank,Blank,0.039,0.044,0.2518,Normal,
A10,Blank,Blank,0.04,0.04,0.2468,Normal,
C10,Blank,Blank,0.04,0.037,0.2487,Normal,
E10,Blank,Blank,0.04,0.048,0.2482,Normal,
G10,Blank,Blank,0.04,0.04,0.2476,Normal,
B11,Blank,Blank,0.04,0.038,0.2465,Normal,
D11,Blank,Blank,0.04,0.04,0.2464,Normal,
F11,Blank,Blank,0.041,0.037,0.2477,Normal,
H11,Blank,Blank,0.042,0.043,0.2472,Normal,
A12,Blank,Blank,0.04,0.045,0.2476,Normal,
C12,Blank,Blank,0.04,0.037,0.2491,Normal,
E12,Blank,Blank,0.04,0.037,0.2483,Normal,
G12,Blank,Blank,0.04,0.037,0.248,Normal,
B12,SO_0039,{\it \delta SO\_0039},0.43,0.288,0.1053,Normal,
C01,SO_0450,{\it \delta SO\_0450},0.443,0.287,0.1155,Normal,
C03,SO_0529,{\it \delta SO\_0529},0.469,0.279,0.12,Normal,
C05,SO_0535,{\it \delta SO\_0535},0.438,0.279,0.1053,Normal,
C07,SO_0584,{\it \delta SO\_0584},0.487,0.292,0.1097,Normal,
C09,SO_0956,{\it \delta SO\_0956},0.509,0.321,0.0988,Normal,
C11,SO_1144,{\it \delta SO\_1144},0.474,0.314,0.1053,Normal,
D02,SO_1169,{\it \delta SO\_1169},0.493,0.321,0.1107,Normal,
D06,SO_1226,{\it \delta SO\_1226},0.465,0.303,0.1059,Normal,
D08,SO_1277,{\it \delta SO\_1277},0.455,0.306,0.104,Normal,
D10,SO_1367,{\it \delta SO\_1367},0.475,0.328,0.0962,Normal,
D12,SO_1375,{\it \delta SO\_1375},0.501,0.324,0.0935,Normal,
E01,SO_1451,{\it \delta SO\_1451},0.496,0.31,0.1012,Normal,
E03,SO_1588,{\it \delta SO\_1588},0.492,0.315,0.1093,Normal,
E05,SO_1618,{\it \delta SO\_1618},0.478,0.321,0.1029,Normal,
E07,SO_1722,{\it \delta SO\_1722},0.44,0.306,0.1023,Normal,
E09,SO_1787,{\it \delta SO\_1787},0.51,0.321,0.0977,Normal,
E11,SO_1916,{\it \delta SO\_1916},0.479,0.31,0.1009,Normal,
F02,SO_2019,{\it \delta SO\_2019},0.493,0.327,0.1015,Normal,
F04,SO_2442,{\it \delta SO\_2442},0.503,0.333,0.0944,Normal,
F06,SO_2498,{\it \delta SO\_2498},0.488,0.327,0.0985,Normal,
