Strain,Label,Condition,Condition Order,Strain Order,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance,Significant Relative Change,Max Change
δwzz,{\it \delta wzz} HH,HH,4,16,PS2,-0.0382,0.0141,6.1972E-02,,0.0081,0.0109,4.0578E-01,,0.0090,0.0080,2.5368E-01,,N,0.0382
δwzz,{\it \delta wzz} LL,LL,1,16,PS2,-0.0032,0.0024,2.0366E-01,,0.0052,0.0036,1.7817E-01,,-0.0029,0.0054,5.2891E-01,,N,0.0052
δwzz,{\it \delta wzz} LH,LH,2,16,PS2,0.0117,0.0100,2.3918E-01,,0.0155,0.0023,1.1222E-02,*,-0.0259,0.0074,3.8233E-02,*,Y,0.0259
δwzz,{\it \delta wzz} HL,HL,3,16,PS2,-0.0292,0.0108,6.2235E-02,,0.0062,0.0045,1.9380E-01,,0.0073,0.0051,1.7817E-01,,N,0.0292
δwzd,{\it \delta wzd} HH,HH,4,17,PS2,0.0567,0.0301,1.1647E-01,,-0.0065,0.0031,9.8280E-02,,-0.0231,0.0146,1.5566E-01,,N,0.0567
δwzd,{\it \delta wzd} LL,LL,1,17,PS2,-0.0003,0.0039,9.2018E-01,,0.0002,0.0019,8.7745E-01,,0.0000,0.0050,9.9521E-01,,N,0.0003
δwzd,{\it \delta wzd} LH,LH,2,17,PS2,-0.0087,0.0048,1.2349E-01,,-0.0031,0.0068,5.8555E-01,,0.0097,0.0055,1.2968E-01,,N,0.0097
δwzd,{\it \delta wzd} HL,HL,3,17,PS2,-0.0188,0.0092,1.0193E-01,,-0.0041,0.0031,2.0949E-01,,0.0131,0.0027,2.0268E-02,*,Y,0.0188
δwbpQ,{\it \delta wbpQ} HH,HH,4,11,PS1,-0.0129,0.0150,3.4805E-01,,-0.0105,0.0008,3.1742E-03,**,0.0165,0.0076,9.0708E-02,,Y,0.0165
δwbpQ,{\it \delta wbpQ} LL,LL,1,11,PS1,0.0082,0.0018,2.2444E-02,*,-0.0005,0.0009,5.2976E-01,,-0.0064,0.0024,6.3955E-02,,Y,0.0082
δwbpQ,{\it \delta wbpQ} LH,LH,2,11,PS1,0.0109,0.0088,2.2214E-01,,-0.0017,0.0023,4.0551E-01,,-0.0064,0.0044,1.7617E-01,,N,0.0109
δwbpQ,{\it \delta wbpQ} HL,HL,3,11,PS1,-0.0150,0.0050,5.1276E-02,,0.0015,0.0016,3.1387E-01,,0.0067,0.0012,1.4731E-02,*,Y,0.0150
δwbpP,{\it \delta wbpP} HH,HH,4,14,PS2,-0.0438,0.0229,1.1359E-01,,0.0133,0.0106,2.1856E-01,,0.0058,0.0036,1.4837E-01,,N,0.0438
δwbpP,{\it \delta wbpP} LL,LL,1,14,PS2,0.0123,0.0028,2.5298E-02,*,-0.0025,0.0019,2.0426E-01,,-0.0078,0.0026,5.2238E-02,,Y,0.0123
δwbpP,{\it \delta wbpP} LH,LH,2,14,PS2,0.0088,0.0110,3.7467E-01,,0.0006,0.0013,5.8653E-01,,-0.0072,0.0076,3.1514E-01,,N,0.0088
δwbpP,{\it \delta wbpP} HL,HL,3,14,PS2,-0.0186,0.0172,2.6610E-01,,0.0025,0.0050,5.5339E-01,,0.0057,0.0034,1.3746E-01,,N,0.0186
δwbpA,{\it \delta wbpA} HH,HH,4,15,PS2,-0.0329,0.0147,8.6810E-02,,0.0096,0.0055,1.3101E-01,,0.0056,0.0014,2.9830E-02,*,Y,0.0329
δwbpA,{\it \delta wbpA} LL,LL,1,15,PS2,-0.0003,0.0027,8.9524E-01,,0.0093,0.0025,3.3845E-02,*,-0.0092,0.0033,5.8655E-02,,Y,0.0093
δwbpA,{\it \delta wbpA} LH,LH,2,15,PS2,0.0061,0.0081,3.9349E-01,,0.0197,0.0052,3.3646E-02,*,-0.0267,0.0040,1.0935E-02,*,Y,0.0267
δwbpA,{\it \delta wbpA} HL,HL,3,15,PS2,-0.0251,0.0120,9.7644E-02,,0.0083,0.0038,8.8581E-02,,0.0044,0.0026,1.3729E-01,,N,0.0251
