Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,,Acq. Date-Time,Type,Level,Sample Name,Comment,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,001CALB.d,,12/4/2021 18:59,CalBlk,,blank,,0.182,2.4,,,0.001,26.1,694.234,20,0,44.4,0.001,23.4,0,23.2,0.001,91.7,0,21.7,0,100,0,43.3,0,86.6,0,43.3,0,12.6,0,69.3,0,26.5,0.376,0,0,49.5,0,28.6,0,20.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,002CALS.d,,12/4/2021 19:04,CalStd,1,1,,0.887,1.6,,,1.012,0.3,740.516,10.8,1.015,0.4,1.011,1,1.005,0.8,0.997,0.6,1.003,1.2,1.007,0.4,0.998,1.3,1.005,1.1,0.99,0.9,0.999,0.7,1.003,0.9,1.004,0.7,1.37,0.5,1,1,0.996,1.4,0.999,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,003CALS.d,,12/4/2021 19:09,CalStd,2,2,,1.787,1.9,,,1.998,0.5,786.798,27,2.01,1,1.995,0.7,1.985,0.4,1.992,2.1,1.986,1.4,1.981,1.7,2.006,0.7,1.989,1.6,1.966,0.9,1.996,0.5,1.968,1,1.991,0.6,2.354,0.3,1.997,0.4,1.978,1.2,1.989,0.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,004CALS.d,,12/4/2021 19:14,CalStd,3,5,,4.573,1.8,,,4.968,0.6,555.387,86.6,4.978,0.5,4.936,0.7,4.949,0.5,4.953,0.6,4.929,0.4,4.924,0.4,4.967,0.4,4.965,0.5,4.902,0.4,4.956,0.4,4.946,0.3,4.963,0.5,5.313,0.2,4.969,0.3,4.926,0.1,4.963,0.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,005CALS.d,,12/4/2021 19:19,CalStd,4,10,,9.516,1,,,9.973,0.4,740.516,47.2,9.996,0.5,9.935,0.3,9.962,0.5,10.084,0.3,9.916,0.6,9.839,0.4,10.043,0.3,9.999,0.7,9.808,0.9,10.193,0.4,9.92,0.9,10.171,1.8,10.309,0.4,10.166,0.8,9.898,0.5,10.179,1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,006CALS.d,,12/4/2021 19:24,CalStd,5,25,,24.012,0.3,,,25.441,0.9,1249.621,11.1,25.421,0.7,25.234,0.4,25.432,1.9,25.134,1,24.848,0.1,24.648,0.5,25.527,0.5,25.306,1.2,24.402,0.3,25.049,0.6,24.733,0.2,25.262,1.7,25.051,0.6,25.259,0.9,24.687,0.6,25.083,0.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,007CALS.d,,12/4/2021 19:29,CalStd,6,50,,51.733,1.1,,,51.153,0.6,833.08,28.9,50.825,0.3,51.272,0.4,51.355,0.8,52.985,0.7,51.091,0.4,50.834,0.2,51.978,0.2,51.748,0.5,50.531,0.3,51.023,0.4,52.115,0.7,50.905,0.2,52.738,1.9,51.09,0.7,52.632,0.6,51.029,1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,008CALS.d,,12/4/2021 19:34,CalStd,7,100,,101.592,1.6,,,98.648,0.3,370.258,57.3,98.562,0.2,99.276,0.5,99.094,1.1,102.099,0.8,101.816,0.6,101.986,0.5,100.192,0.6,99.731,0.5,101.932,1,99.905,0.9,102.14,0.9,99.67,0.3,101.199,0.4,99.834,0.5,103.827,0.9,100.038,0.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,009CALS.d,,12/4/2021 19:39,CalStd,8,250,,246.803,1.5,,,245.944,0.3,925.645,37.7,245.094,0.3,246.535,0.5,245.904,0.3,248.489,0.4,248.832,1.2,250.012,1.9,248.142,0.6,248.241,1,248.425,1.4,248.562,0.7,250.03,0.7,248.902,0.3,247.337,0.1,249.066,0.5,249.434,1.6,249.407,0.7,,
