Well,Wavelength (nm),Absorbance,Data Point Number,Well Number
"(1, 1)",580,0.2863,1,1
"(1, 1)",590,0.2754,2,1
"(1, 1)",600,0.2788,3,1
"(1, 1)",610,0.2715,4,1
"(1, 1)",620,0.2358,5,1
"(1, 1)",630,0.2088,6,1
"(1, 1)",640,0.2154,7,1
"(1, 1)",650,0.2492,8,1
"(1, 1)",660,0.2448,9,1
"(1, 1)",670,0.1759,10,1
"(1, 1)",680,0.1028,11,1
"(2, 1)",580,0.2839,12,2
"(2, 1)",590,0.2231,13,2
"(2, 1)",600,0.1749,14,2
"(2, 1)",610,0.1424,15,2
"(2, 1)",620,0.1189,16,2
"(2, 1)",630,0.1049,17,2
"(2, 1)",640,0.1022,18,2
"(2, 1)",650,0.106,19,2
"(2, 1)",660,0.0956,20,2
"(2, 1)",670,0.0651,21,2
"(2, 1)",680,0.0368,22,2
"(3, 1)",580,0.2872,23,3
"(3, 1)",590,0.2767,24,3
"(3, 1)",600,0.2801,25,3
"(3, 1)",610,0.2728,26,3
"(3, 1)",620,0.2377,27,3
"(3, 1)",630,0.2098,28,3
"(3, 1)",640,0.2164,29,3
"(3, 1)",650,0.2498,30,3
"(3, 1)",660,0.2457,31,3
"(3, 1)",670,0.1768,32,3
"(3, 1)",680,0.1033,33,3
"(4, 1)",580,0.2858,34,4
"(4, 1)",590,0.2226,35,4
"(4, 1)",600,0.1726,36,4
"(4, 1)",610,0.1386,37,4
"(4, 1)",620,0.1152,38,4
"(4, 1)",630,0.1015,39,4
"(4, 1)",640,0.0982,40,4
"(4, 1)",650,0.1006,41,4
"(4, 1)",660,0.09,42,4
"(4, 1)",670,0.0611,43,4
"(4, 1)",680,0.0348,44,4
"(5, 1)",580,0.2852,45,5
"(5, 1)",590,0.2746,46,5
"(5, 1)",600,0.2785,47,5
"(5, 1)",610,0.2714,48,5
"(5, 1)",620,0.2362,49,5
"(5, 1)",630,0.2084,50,5
"(5, 1)",640,0.2148,51,5
"(5, 1)",650,0.2486,52,5
"(5, 1)",660,0.2445,53,5
"(5, 1)",670,0.1761,54,5
"(5, 1)",680,0.1028,55,5
"(6, 1)",580,0.2855,56,6
"(6, 1)",590,0.2206,57,6
