Strain,Label,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance
δwbpP,{\it \delta wbpP},PS1,0.0088,0.0110,3.7467E-01,,0.0006,0.0013,5.8653E-01,,-0.0072,0.0076,3.1514E-01,
δwbpA,{\it \delta wbpA},PS1,0.0061,0.0081,3.9349E-01,,0.0197,0.0052,3.3646E-02,*,-0.0267,0.0040,1.0935E-02,*
δwzz,{\it \delta wzz},PS1,0.0117,0.0100,2.3918E-01,,0.0155,0.0023,1.1222E-02,*,-0.0259,0.0074,3.8233E-02,*
δwzd,{\it \delta wzd},PS1,-0.0087,0.0048,1.2349E-01,,-0.0031,0.0068,5.8555E-01,,0.0097,0.0055,1.2968E-01,
,,,,,,,,,,,,,,
δwbpQ,{\it \delta wbpQ},PS2,0.0109,0.0088,2.2214E-01,,-0.0017,0.0023,4.0551E-01,,-0.0064,0.0044,1.7617E-01,
δwbnJ,{\it \delta wbnJ},PS2,0.0078,0.0071,2.6270E-01,,0.0036,0.0037,3.0318E-01,,-0.0098,0.0013,9.1893E-03,**
δSO_3183,{\it \delta SO\_3183},PS2,-0.0057,0.0056,2.8983E-01,,-0.0065,0.0027,7.9164E-02,,0.0116,0.0027,2.5762E-02,*
,,,,,,,,,,,,,,
δmshQ,{\it \delta mshQ},MSHA,-0.0045,0.0061,4.1041E-01,,-0.0073,0.0023,4.7848E-02,*,0.0114,0.0064,1.2968E-01,
δmshD,{\it \delta mshD},MSHA,0.0046,0.0153,7.1369E-01,,-0.0142,0.0005,6.7002E-04,***,0.0129,0.0111,2.4101E-01,
δmshC,{\it \delta mshC},MSHA,-0.0013,0.0053,7.6310E-01,,-0.0099,0.0081,2.2788E-01,,0.0121,0.0097,2.1891E-01,
δmshA,{\it \delta mshA},MSHA,-0.0041,0.0265,8.4695E-01,,-0.0031,0.0206,8.5148E-01,,0.0061,0.0064,3.1237E-01,
δmshB,{\it \delta mshB},MSHA,0.0168,0.0040,2.7266E-02,*,-0.0150,0.0056,6.2572E-02,,0.0060,0.0062,3.0880E-01,
δmshL,{\it \delta mshL},MSHA,-0.0149,0.0058,6.8089E-02,,-0.0043,0.0081,5.2751E-01,,0.0154,0.0117,2.0504E-01,
δmshJ,{\it \delta mshJ},MSHA,-0.0096,0.0090,2.7159E-01,,0.0231,0.0049,2.1891E-02,*,-0.0196,0.0008,8.0200E-04,***
,,,,,,,,,,,,,,
δpyrC,{\it \delta pyrC},Pyr,-0.0077,0.0148,5.3629E-01,,0.0025,0.0065,6.3952E-01,,0.0024,0.0174,8.6137E-01,
δpyrD,{\it \delta pyrD},Pyr,-0.0180,0.0023,7.7500E-03,**,-0.0146,0.0026,1.5419E-02,*,0.0290,0.0014,1.1955E-03,**
δpyrE,{\it \delta pyrE},Pyr,-0.0101,0.0101,2.9113E-01,,-0.0031,0.0076,6.2210E-01,,0.0105,0.0059,1.2874E-01,
,,,,,,,,,,,,,,
δhptA,{\it \delta hptA},Arc,-0.0247,0.0170,1.7741E-01,,0.0106,0.0048,8.9866E-02,,0.0062,0.0178,6.6992E-01,
δSO_3099,{\it \delta SO\_3099},Arc,0.0016,0.0081,8.0000E-01,,0.0015,0.0046,6.8367E-01,,-0.0029,0.0031,3.1474E-01,
δetfB,{\it \delta etfB},Arc,0.0149,0.0055,6.2691E-02,,-0.0016,0.0006,5.6854E-02,,-0.0088,0.0033,6.4502E-02,
,,,,,,,,,,,,,,
δSO_0456,{\it \delta SO\_0456},Misc,-0.0006,0.0041,8.4316E-01,,-0.0017,0.0035,5.7213E-01,,0.0024,0.0057,6.1237E-01,
δSO_3385,{\it \delta SO\_3385},Misc,-0.0128,0.0130,3.0074E-01,,0.0032,0.0038,3.5508E-01,,0.0057,0.0135,6.0777E-01,
δSO_2183,{\it \delta SO\_2183},Misc,0.0160,0.0016,5.2196E-03,**,-0.0035,0.0057,4.8111E-01,,-0.0079,0.0054,1.7505E-01,
