Strain,Label,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance
δwbpP,{\it \delta wbpP},PS1,0.0123,0.0028,2.5298E-02,*,-0.0025,0.0019,2.0426E-01,,-0.0078,0.0026,5.2238E-02,
δwbpA,{\it \delta wbpA},PS1,-0.0003,0.0027,8.9524E-01,,0.0093,0.0025,3.3845E-02,*,-0.0092,0.0033,5.8655E-02,
δwzz,{\it \delta wzz},PS1,-0.0032,0.0024,2.0366E-01,,0.0052,0.0036,1.7817E-01,,-0.0029,0.0054,5.2891E-01,
δwzd,{\it \delta wzd},PS1,-0.0003,0.0039,9.2018E-01,,0.0002,0.0019,8.7745E-01,,0.0000,0.0050,9.9521E-01,
,,,,,,,,,,,,,,
δwbpQ,{\it \delta wbpQ},PS2,0.0082,0.0018,2.2444E-02,*,-0.0005,0.0009,5.2976E-01,,-0.0064,0.0024,6.3955E-02,
δwbnJ,{\it \delta wbnJ},PS2,-0.0039,0.0020,1.1215E-01,,0.0038,0.0017,8.7031E-02,,-0.0006,0.0016,6.6789E-01,
δSO_3183,{\it \delta SO\_3183},PS2,0.0053,0.0030,1.2670E-01,,-0.0031,0.0025,2.1364E-01,,-0.0014,0.0002,8.8720E-03,**
,,,,,,,,,,,,,,
δmshQ,{\it \delta mshQ},MSHA,0.0037,0.0018,9.8270E-02,,0.0007,0.0025,7.1437E-01,,-0.0037,0.0023,1.5558E-01,
δmshD,{\it \delta mshD},MSHA,0.0024,0.0043,5.1792E-01,,0.0008,0.0022,6.6978E-01,,-0.0026,0.0036,4.1974E-01,
δmshC,{\it \delta mshC},MSHA,0.0014,0.0034,6.1645E-01,,-0.0001,0.0033,9.5968E-01,,-0.0009,0.0054,8.2751E-01,
δmshA,{\it \delta mshA},MSHA,0.0163,0.0078,9.7938E-02,,-0.0048,0.0064,4.0173E-01,,-0.0071,0.0012,1.4123E-02,*
δmshB,{\it \delta mshB},MSHA,0.0086,0.0009,4.8694E-03,**,-0.0087,0.0040,9.0251E-02,,0.0026,0.0042,4.7698E-01,
δmshL,{\it \delta mshL},MSHA,-0.0062,0.0013,2.0063E-02,*,0.0001,0.0053,9.8305E-01,,0.0049,0.0065,3.9458E-01,
δmshJ,{\it \delta mshJ},MSHA,-0.0045,0.0013,4.1424E-02,*,0.0056,0.0024,7.9422E-02,,-0.0023,0.0014,1.4594E-01,
,,,,,,,,,,,,,,
δpyrC,{\it \delta pyrC},Pyr,-0.0038,0.0082,5.8152E-01,,0.0009,0.0035,7.4899E-01,,0.0020,0.0100,8.0147E-01,
δpyrD,{\it \delta pyrD},Pyr,-0.0106,0.0032,4.2286E-02,*,-0.0045,0.0007,1.0731E-02,*,0.0129,0.0018,1.0042E-02,*
δpyrE,{\it \delta pyrE},Pyr,-0.0041,0.0018,8.3046E-02,,-0.0008,0.0029,7.2047E-01,,0.0040,0.0043,3.1839E-01,
,,,,,,,,,,,,,,
δhptA,{\it \delta hptA},Arc,0.0022,0.0017,2.2054E-01,,-0.0018,0.0043,6.1281E-01,,-0.0000,0.0055,9.9922E-01,
δSO_3099,{\it \delta SO\_3099},Arc,-0.0078,0.0017,2.2726E-02,*,0.0006,0.0019,6.7419E-01,,0.0057,0.0016,3.6652E-02,*
δetfB,{\it \delta etfB},Arc,0.0000,0.0019,9.7845E-01,,0.0037,0.0007,1.5852E-02,*,-0.0038,0.0009,2.5169E-02,*
,,,,,,,,,,,,,,
δSO_0456,{\it \delta SO\_0456},Misc,-0.0069,0.0020,3.9510E-02,*,0.0006,0.0037,8.4953E-01,,0.0051,0.0055,3.2008E-01,
δSO_3385,{\it \delta SO\_3385},Misc,-0.0007,0.0005,2.1247E-01,,-0.0057,0.0017,4.2334E-02,*,0.0063,0.0021,5.2217E-02,
δSO_2183,{\it \delta SO\_2183},Misc,-0.0038,0.0016,7.5079E-02,,0.0012,0.0013,3.1770E-01,,0.0019,0.0013,1.6871E-01,
