Strain,Label,Group,La Rel Mean,La Rel SD,La p-value,La Significance,Eu Rel Mean,Eu Rel SD,Eu p-value,Eu Significance,Yb Rel Mean,Yb Rel SD,Yb p-value,Yb Significance
δwbpP,{\it \delta wbpP},PS1,-0.0438,0.0229,1.1359E-01,,0.0133,0.0106,2.1856E-01,,0.0058,0.0036,1.4837E-01,
δwbpA,{\it \delta wbpA},PS1,-0.0329,0.0147,8.6810E-02,,0.0096,0.0055,1.3101E-01,,0.0056,0.0014,2.9830E-02,*
δwzz,{\it \delta wzz},PS1,-0.0382,0.0141,6.1972E-02,,0.0081,0.0109,4.0578E-01,,0.0090,0.0080,2.5368E-01,
δwzd,{\it \delta wzd},PS1,0.0567,0.0301,1.1647E-01,,-0.0065,0.0031,9.8280E-02,,-0.0231,0.0146,1.5566E-01,
,,,,,,,,,,,,,,
δwbpQ,{\it \delta wbpQ},PS2,-0.0129,0.0150,3.4805E-01,,-0.0105,0.0008,3.1742E-03,**,0.0165,0.0076,9.0708E-02,
δwbnJ,{\it \delta wbnJ},PS2,-0.0385,0.0061,1.2273E-02,*,-0.0031,0.0016,1.1205E-01,,0.0214,0.0042,1.8512E-02,*
δSO_3183,{\it \delta SO\_3183},PS2,-0.0409,0.0076,1.6695E-02,*,-0.0018,0.0027,4.4249E-01,,0.0220,0.0009,8.6860E-04,***
,,,,,,,,,,,,,,
δmshQ,{\it \delta mshQ},MSHA,0.0052,0.0101,5.4370E-01,,0.0055,0.0029,1.1511E-01,,-0.0080,0.0033,7.5954E-02,
δmshD,{\it \delta mshD},MSHA,-0.0130,0.0076,1.3707E-01,,0.0141,0.0007,1.0967E-03,**,-0.0075,0.0038,1.0687E-01,
δmshC,{\it \delta mshC},MSHA,-0.0119,0.0176,4.4001E-01,,0.0195,0.0093,9.7353E-02,,-0.0133,0.0011,3.3524E-03,**
δmshA,{\it \delta mshA},MSHA,-0.0278,0.0410,4.3835E-01,,0.0231,0.0142,1.4698E-01,,-0.0099,0.0093,2.7113E-01,
δmshB,{\it \delta mshB},MSHA,-0.0048,0.0335,8.5863E-01,,0.0096,0.0080,2.3321E-01,,-0.0075,0.0079,3.0826E-01,
δmshL,{\it \delta mshL},MSHA,0.0482,0.0279,1.3440E-01,,-0.0081,0.0114,4.2091E-01,,-0.0131,0.0162,3.7117E-01,
δmshJ,{\it \delta mshJ},MSHA,0.0620,0.0707,3.4066E-01,,-0.0161,0.0150,2.6981E-01,,-0.0063,0.0105,4.8444E-01,
,,,,,,,,,,,,,,
δpyrC,{\it \delta pyrC},Pyr,0.0581,0.0159,3.5611E-02,*,-0.0091,0.0046,1.0766E-01,,-0.0174,0.0097,1.2696E-01,
δpyrD,{\it \delta pyrD},Pyr,0.0449,0.0173,6.6845E-02,,-0.0149,0.0086,1.3406E-01,,-0.0061,0.0046,2.0241E-01,
δpyrE,{\it \delta pyrE},Pyr,0.0033,0.0323,8.9749E-01,,-0.0035,0.0121,7.2561E-01,,0.0016,0.0021,3.8707E-01,
,,,,,,,,,,,,,,
δhptA,{\it \delta hptA},Arc,0.0107,0.0334,6.9375E-01,,-0.0074,0.0093,3.7809E-01,,0.0009,0.0089,8.9487E-01,
δSO_3099,{\it \delta SO\_3099},Arc,-0.0108,0.0075,1.7818E-01,,0.0030,0.0040,4.0186E-01,,0.0025,0.0007,3.3669E-02,*
δetfB,{\it \delta etfB},Arc,-0.0257,0.0044,1.4096E-02,*,0.0045,0.0024,1.1679E-01,,0.0078,0.0026,4.9881E-02,*
,,,,,,,,,,,,,,
δSO_0456,{\it \delta SO\_0456},Misc,0.0068,0.0173,6.3582E-01,,-0.0100,0.0046,8.9873E-02,,0.0066,0.0072,3.2551E-01,
δSO_3385,{\it \delta SO\_3385},Misc,-0.0260,0.0104,7.1279E-02,,-0.0022,0.0030,4.1304E-01,,0.0139,0.0025,1.5584E-02,*
δSO_2183,{\it \delta SO\_2183},Misc,0.0036,0.0105,6.7196E-01,,-0.0068,0.0013,1.9082E-02,*,0.0047,0.0040,2.3793E-01,
